Cod partener,Nr.contract,Adresa partener,Contract start,Stare,Contract end,Cod produs,Tip produs,UM,Valuta,Pret contractat,Pret mediu factura,Cantitate facturat total
5612043,388,"…. - UL SOCIAL, STR. LUNGA , BRASOV",23-Aug-2010,Valid,23.07.2018,SGF_288,Marfa,KG,EUR,32.61,24.55,17
34307434,1862,"…. - OLTURI, GH. BARITIU, HUNEDOARA",20-Jun-2018,Valid,30.06.2021,SGF_254,Marfa,KG,EUR,33.87,26.29,159
35165559,1630,"…. - AILOR BARSA, ZIZINULUI, SACELE",16-Jun-2017,Valid,15.06.2020,SGF_29P,Marfa,Cut,EUR,65.19,42,1
34550904,1192,"…. - TOR VALERIU MAXIMILIAN, BRASOV",27-Jul-2015,Anulat,27.07.2017,SGF_29P,Marfa,Cut,EUR,62.83,46.31,23
34550904,1192,"…. - TOR VALERIU MAXIMILIAN, BRASOV",27-Jul-2015,Anulat,27.07.2017,SGF_358,Marfa,Cut,EUR,19.8,18,7
34550904,1192,"…. - TOR VALERIU MAXIMILIAN, BRASOV",27-Jul-2015,Anulat,27.07.2017,SGF_29N,Marfa,Cut,EUR,24.09,17.4,2
34550904,1192,"…. - TOR VALERIU MAXIMILIAN, BRASOV",27-Jul-2015,Anulat,27.07.2017,SGF_29M,Marfa,Cut,EUR,24.09,17.4,4
40015906,2040,"…. - lea Martirilor 1989, TIMISOARA",21-Oct-2019,Valid,31.10.2022,SGF_254,Marfa,KG,EUR,35.12,27.79,84
43694674,2229,"…. -  CAFE, STR TINERETULUI, LUPENI",17-Nov-2021,Draft,15.11.2024,SGF_269_1100,Marfa,KG,EUR,30.67,25.11,50
41733785,2224,"…. - ITI CAFE, ZIDURI MOSI, SECTOR2",15-Oct-2021,Valid,14.10.2024,SGF_269_1100,Marfa,KG,EUR,31.36,25.76,16
32318135,1516,"…. -  MORE, NICOLAE TONITA, SECTOR3",6-Jan-2017,Valid,18.06.2018,SGF_288,Marfa,KG,EUR,31.36,23.26,153
32318135,1516,"…. -  MORE, NICOLAE TONITA, SECTOR3",6-Jan-2017,Valid,18.06.2018,LSM_202033,Obiecte inventar,BUC,EUR,71,53.25,1
32318135,1516,"…. -  MORE, NICOLAE TONITA, SECTOR3",6-Jan-2017,Valid,18.06.2018,LSM_207100,"Echipamente tehnologice (masini, utilaje si instalatii de lucru)",BUC,EUR,962,721.5,1
32318135,1736,"…. -  MORE, NICOLAE TONITA, SECTOR3",3-Nov-2017,Valid,02.11.2020,SGF_288,Marfa,KG,EUR,31.36,23.26,153
35764388,1490,"…. - , HARGHITEI, CRISTURU SECUIESC",27-Oct-2016,Valid,30.09.2019,SGF_200.002.017,Marfa,KG,EUR,22.4,19.55,16
33813603,2123,"…. - IETONAL STEFAN CEL MARE, ROMAN",29-Jul-2020,Valid,31.07.2023,SGF_2V1_1990,Marfa,KG,EUR,22.58,18,14
33813603,2123,"…. - IETONAL STEFAN CEL MARE, ROMAN",29-Jul-2020,Valid,31.07.2023,SGF_269_1100,Marfa,KG,EUR,29.12,23.27,18
15739037,1582,"…. - RSE UMANE, AVRAM IANCU, BRASOV",21-Apr-2017,Valid,19.12.2018,SGF_29P,Marfa,Cut,EUR,41.89,37.91,21
5680404,926,"…. - -BOBALNA, STR. BOBILNA , ALESD",10-Mar-2014,Valid,10.02.2017,SGF_2V1_1990,Marfa,KG,EUR,20.07,13.25,498
5680404,926,"…. - -BOBALNA, STR. BOBILNA , ALESD",10-Mar-2014,Valid,10.02.2017,LSM_207057T,"Echipamente tehnologice (masini, utilaje si instalatii de lucru)",BUC,EUR,"5,003.00","3,784.51",1
36421655,1488,"…. -  BD REVOLUTIEI 1989, TIMISOARA",27-Oct-2016,Valid,31.10.2019,SGF_288,Marfa,KG,EUR,31.36,21.91,92
5143451,1440,"…. - ATE, PICTOR ANDREESCU, SUCEAVA",4-Aug-2016,Valid,09.08.2019,SGF_29P,Marfa,Cut,EUR,54.98,42.18,14
5143451,1440,"…. - ATE, PICTOR ANDREESCU, SUCEAVA",4-Aug-2016,Valid,09.08.2019,SGF_288,Marfa,KG,EUR,31.36,19.5,64
